frame_idx,rally_index,is_real_touch,pipeline_track_id,pipeline_dist_px,attribution_verdict,correct_track_id,confidence,notes
12089,0,true,31,0.0,correct,31,high,user-reviewed (scripts/review_touches.py)
12126,0,true,18,31.9,correct,18,high,user-reviewed (scripts/review_touches.py)
12175,0,true,14,31.2,correct,14,high,user-reviewed (scripts/review_touches.py)
12228,0,true,15,81.4,wrong,19,high,user-reviewed (scripts/review_touches.py)
12246,0,true,49,0.0,wrong,31,high,user-reviewed (scripts/review_touches.py)
12296,0,true,20,0.0,wrong,60,high,user-reviewed (scripts/review_touches.py)
12339,0,true,20,0.0,correct,20,high,user-reviewed (scripts/review_touches.py)
12357,0,true,67,50.3,correct,67,high,user-reviewed (scripts/review_touches.py)
12391,0,true,77,0.0,correct,77,high,user-reviewed (scripts/review_touches.py)
12409,0,true,,210.0,correct,,high,user-reviewed (scripts/review_touches.py)
12426,0,true,,119.1,wrong,67,high,user-reviewed (scripts/review_touches.py)
12443,0,true,,55.9,wrong,67,high,user-reviewed (scripts/review_touches.py)
12464,0,true,88,18.8,wrong,84,high,user-reviewed (scripts/review_touches.py)
12506,0,true,62,53.2,correct,62,high,user-reviewed (scripts/review_touches.py)
12547,0,true,94,1.1,correct,94,high,user-reviewed (scripts/review_touches.py)
12587,0,true,119,78.1,wrong,110,high,user-reviewed (scripts/review_touches.py)
12645,0,true,,71.1,correct,,high,user-reviewed (scripts/review_touches.py)
12657,0,true,,50.6,correct,,high,user-reviewed (scripts/review_touches.py)
12782,0,false,105,13.6,na,,high,user-reviewed (scripts/review_touches.py)
12800,0,false,105,31.2,na,,high,user-reviewed (scripts/review_touches.py)
12372,0,false,52,0.0,na,,high,user-reviewed (scripts/review_touches.py)
12481,0,false,72,147.4,na,,high,user-reviewed (scripts/review_touches.py)
12532,0,false,94,144.3,na,,high,user-reviewed (scripts/review_touches.py)
12567,0,true,119,124.3,wrong,94,high,user-reviewed (scripts/review_touches.py)
12620,0,false,93,104.0,na,,high,user-reviewed (scripts/review_touches.py)
12682,0,false,130,134.0,na,,high,user-reviewed (scripts/review_touches.py)
12687,0,false,123,1.4,na,,high,user-reviewed (scripts/review_touches.py)
12763,0,false,13,16.5,na,,high,user-reviewed (scripts/review_touches.py)
12770,0,false,137,19.4,na,,high,user-reviewed (scripts/review_touches.py)
12907,1,true,,402.2,missed,,high,user-reviewed (scripts/review_touches.py)
12981,1,true,172,25.6,correct,172,high,user-reviewed (scripts/review_touches.py)
12990,1,true,172,91.6,correct,172,high,user-reviewed (scripts/review_touches.py)
12998,1,false,137,67.8,na,,high,user-reviewed (scripts/review_touches.py)
13009,1,true,173,25.6,wrong,164,high,user-reviewed (scripts/review_touches.py)
13055,1,true,186,51.4,wrong,169,high,user-reviewed (scripts/review_touches.py)
13080,1,true,168,119.3,correct,168,high,user-reviewed (scripts/review_touches.py)
13105,1,true,171,31.0,correct,171,high,user-reviewed (scripts/review_touches.py)
13168,1,true,171,53.0,wrong,189,high,user-reviewed (scripts/review_touches.py)
13249,1,false,205,129.6,na,,high,user-reviewed (scripts/review_touches.py)
13263,1,true,189,0.0,wrong,217,high,user-reviewed (scripts/review_touches.py)
13318,1,true,,41.8,wrong,206,high,user-reviewed (scripts/review_touches.py)
13331,1,true,181,116.2,wrong,206,high,user-reviewed (scripts/review_touches.py)
13341,1,true,181,34.4,correct,181,high,user-reviewed (scripts/review_touches.py)
13353,1,true,218,111.2,wrong,222,high,user-reviewed (scripts/review_touches.py)
13369,1,true,,62.4,wrong,222,high,user-reviewed (scripts/review_touches.py)
13405,1,false,229,0.0,na,,high,user-reviewed (scripts/review_touches.py)
13422,1,true,,47.8,wrong,229,high,user-reviewed (scripts/review_touches.py)
13441,1,true,,203.3,wrong,231,high,user-reviewed (scripts/review_touches.py)
13471,1,false,257,61.1,na,,high,user-reviewed (scripts/review_touches.py)
13492,1,true,209,36.5,correct,209,high,user-reviewed (scripts/review_touches.py)
13513,1,false,181,61.4,na,,high,user-reviewed (scripts/review_touches.py)
13595,1,true,279,76.6,correct,279,high,user-reviewed (scripts/review_touches.py)
13616,1,false,281,140.0,na,,high,user-reviewed (scripts/review_touches.py)
13634,1,true,209,0.0,wrong,274,high,user-reviewed (scripts/review_touches.py)
13685,1,true,275,15.7,correct,275,high,user-reviewed (scripts/review_touches.py)
13748,1,true,278,39.6,correct,278,high,user-reviewed (scripts/review_touches.py)
13762,1,false,274,137.0,na,,high,user-reviewed (scripts/review_touches.py)
13778,1,false,304,0.0,na,,high,user-reviewed (scripts/review_touches.py)
13803,1,false,279,0.0,na,,high,user-reviewed (scripts/review_touches.py)
13899,1,false,328,65.6,na,,high,user-reviewed (scripts/review_touches.py)
14197,2,false,355,95.9,na,,high,user-reviewed (scripts/review_touches.py)
14217,2,true,,22.9,wrong,325,high,user-reviewed (scripts/review_touches.py)
14241,2,true,,224.5,wrong,348,high,user-reviewed (scripts/review_touches.py)
14257,2,true,348,30.3,correct,348,high,user-reviewed (scripts/review_touches.py)
14302,2,true,325,22.1,wrong,363,high,user-reviewed (scripts/review_touches.py)
14311,2,true,,27.1,wrong,405,high,user-reviewed (scripts/review_touches.py)
14316,2,true,405,0.0,correct,405,high,user-reviewed (scripts/review_touches.py)
14329,2,false,358,12.4,na,,high,user-reviewed (scripts/review_touches.py)
14350,2,true,358,103.4,wrong,355,high,user-reviewed (scripts/review_touches.py)
14405,2,true,414,46.9,wrong,349,high,user-reviewed (scripts/review_touches.py)
14453,2,true,410,35.3,correct,410,high,user-reviewed (scripts/review_touches.py)
14498,2,true,410,6.4,wrong,363,high,user-reviewed (scripts/review_touches.py)
14538,2,true,423,26.6,correct,423,high,user-reviewed (scripts/review_touches.py)
14586,2,true,358,18.1,wrong,357,high,user-reviewed (scripts/review_touches.py)
14639,2,true,411,59.3,correct,411,high,user-reviewed (scripts/review_touches.py)
14641,2,true,411,0.0,correct,411,high,user-reviewed (scripts/review_touches.py)
14647,2,false,453,16.3,na,,high,user-reviewed (scripts/review_touches.py)
14652,2,false,453,32.2,na,,high,user-reviewed (scripts/review_touches.py)
14659,2,true,385,40.9,correct,385,high,user-reviewed (scripts/review_touches.py)
14664,2,true,385,0.0,correct,385,high,user-reviewed (scripts/review_touches.py)
14777,2,true,456,82.9,correct,456,high,user-reviewed (scripts/review_touches.py)
14787,2,true,456,117.2,correct,456,high,user-reviewed (scripts/review_touches.py)
14801,2,true,475,39.5,correct,475,high,user-reviewed (scripts/review_touches.py)
14852,2,true,459,78.0,wrong,462,high,user-reviewed (scripts/review_touches.py)
15115,3,true,510,81.5,correct,510,high,user-reviewed (scripts/review_touches.py)
15120,3,true,510,17.3,correct,510,high,user-reviewed (scripts/review_touches.py)
15134,3,false,493,113.2,na,,high,user-reviewed (scripts/review_touches.py)
15153,3,true,489,0.0,wrong,498,high,user-reviewed (scripts/review_touches.py)
15206,3,true,,122.5,wrong,526,high,user-reviewed (scripts/review_touches.py)
15226,3,true,532,135.1,wrong,527,high,user-reviewed (scripts/review_touches.py)
15245,3,true,,48.6,wrong,527,high,user-reviewed (scripts/review_touches.py)
15258,3,true,,121.6,wrong,544,high,user-reviewed (scripts/review_touches.py)
15276,3,true,489,26.8,correct,489,high,user-reviewed (scripts/review_touches.py)
15316,3,false,544,0.0,na,,high,user-reviewed (scripts/review_touches.py)
15346,3,true,,186.6,missed,,high,user-reviewed (scripts/review_touches.py)
15383,3,false,559,56.0,na,,high,user-reviewed (scripts/review_touches.py)
15641,3,false,607,141.9,na,,high,user-reviewed (scripts/review_touches.py)
15659,3,true,567,6.3,correct,567,high,user-reviewed (scripts/review_touches.py)
15703,3,true,559,130.3,wrong,616,high,user-reviewed (scripts/review_touches.py)
15748,3,true,602,16.2,correct,602,high,user-reviewed (scripts/review_touches.py)
15812,3,true,601,89.9,correct,601,high,user-reviewed (scripts/review_touches.py)
15858,3,true,654,60.9,correct,654,high,user-reviewed (scripts/review_touches.py)
15911,3,true,608,31.1,correct,608,high,user-reviewed (scripts/review_touches.py)
15945,3,true,639,34.2,correct,639,high,user-reviewed (scripts/review_touches.py)
15998,3,true,,178.1,wrong,651,high,user-reviewed (scripts/review_touches.py)
16022,3,true,689,141.6,wrong,685,high,user-reviewed (scripts/review_touches.py)
16040,3,true,691,81.0,wrong,681,high,user-reviewed (scripts/review_touches.py)
16056,3,true,,56.2,wrong,681,high,user-reviewed (scripts/review_touches.py)
16080,3,false,608,52.3,na,,high,user-reviewed (scripts/review_touches.py)
16236,3,true,714,149.5,correct,714,high,user-reviewed (scripts/review_touches.py)
16301,3,false,729,104.3,na,,high,user-reviewed (scripts/review_touches.py)
16309,3,false,729,125.6,na,,high,user-reviewed (scripts/review_touches.py)
16396,3,true,751,111.0,correct,751,high,user-reviewed (scripts/review_touches.py)
16407,3,true,751,32.9,correct,751,high,user-reviewed (scripts/review_touches.py)
16422,3,false,759,133.8,na,,high,user-reviewed (scripts/review_touches.py)
16592,3,false,745,115.2,na,,high,user-reviewed (scripts/review_touches.py)
16629,3,true,777,71.5,wrong,743,high,user-reviewed (scripts/review_touches.py)
16642,3,true,744,49.9,correct,744,high,user-reviewed (scripts/review_touches.py)
16659,3,false,775,6.7,na,,high,user-reviewed (scripts/review_touches.py)
16737,3,true,794,0.0,correct,794,high,user-reviewed (scripts/review_touches.py)
16746,3,true,792,69.5,wrong,794,high,user-reviewed (scripts/review_touches.py)
16752,3,true,792,28.5,wrong,794,high,user-reviewed (scripts/review_touches.py)
16806,3,true,,140.0,wrong,812,high,user-reviewed (scripts/review_touches.py)
16876,3,true,,115.0,wrong,808,high,user-reviewed (scripts/review_touches.py)
16892,3,true,828,94.6,missed,,high,user-reviewed (scripts/review_touches.py)
16907,3,false,823,102.1,na,,high,user-reviewed (scripts/review_touches.py)
16928,3,false,827,43.9,na,,high,user-reviewed (scripts/review_touches.py)
16937,3,false,812,0.0,na,,high,user-reviewed (scripts/review_touches.py)
17004,3,true,840,72.3,correct,840,high,user-reviewed (scripts/review_touches.py)
17022,3,false,838,82.0,na,,high,user-reviewed (scripts/review_touches.py)
17030,3,false,843,69.2,na,,high,user-reviewed (scripts/review_touches.py)
17041,3,true,834,39.1,correct,834,high,user-reviewed (scripts/review_touches.py)
17061,3,true,834,118.7,correct,834,high,user-reviewed (scripts/review_touches.py)
17085,3,true,853,5.0,wrong,815,high,user-reviewed (scripts/review_touches.py)
17099,3,true,856,149.8,wrong,815,high,user-reviewed (scripts/review_touches.py)
17105,3,true,865,69.6,wrong,835,high,user-reviewed (scripts/review_touches.py)
17111,3,true,864,39.8,wrong,835,high,user-reviewed (scripts/review_touches.py)
17119,3,true,835,93.1,correct,835,high,user-reviewed (scripts/review_touches.py)
17130,3,true,840,22.1,wrong,838,high,user-reviewed (scripts/review_touches.py)
17140,3,true,838,54.2,correct,838,high,user-reviewed (scripts/review_touches.py)
17157,3,true,838,0.0,correct,838,high,user-reviewed (scripts/review_touches.py)
17204,3,false,833,20.5,na,,high,user-reviewed (scripts/review_touches.py)
17221,3,false,833,60.0,na,,high,user-reviewed (scripts/review_touches.py)
17304,3,false,891,0.0,na,,high,user-reviewed (scripts/review_touches.py)
17361,3,true,892,35.7,correct,892,high,user-reviewed (scripts/review_touches.py)
17407,3,true,,56.2,wrong,897,high,user-reviewed (scripts/review_touches.py)
17603,3,true,942,67.3,wrong,939,high,user-reviewed (scripts/review_touches.py)
17607,3,true,,237.2,wrong,939,high,user-reviewed (scripts/review_touches.py)
18470,4,false,998,83.5,na,,high,user-reviewed (scripts/review_touches.py)
18493,4,false,1004,49.7,na,,high,user-reviewed (scripts/review_touches.py)
18575,4,true,1008,55.2,correct,1008,high,user-reviewed (scripts/review_touches.py)
18590,4,true,981,128.7,wrong,1008,high,user-reviewed (scripts/review_touches.py)
18607,4,true,,196.8,wrong,990,high,user-reviewed (scripts/review_touches.py)
18636,4,true,1004,10.5,correct,1004,high,user-reviewed (scripts/review_touches.py)
18680,4,false,,269.1,na,,high,user-reviewed (scripts/review_touches.py)
18701,4,true,1004,19.8,correct,1004,high,user-reviewed (scripts/review_touches.py)
18752,4,true,1004,62.0,wrong,1051,high,user-reviewed (scripts/review_touches.py)
18812,4,true,1051,76.8,wrong,1062,high,user-reviewed (scripts/review_touches.py)
18842,4,true,,156.0,correct,,high,user-reviewed (scripts/review_touches.py)
18855,4,true,1076,139.8,correct,1076,high,user-reviewed (scripts/review_touches.py)
18875,4,false,1022,9.4,na,,high,user-reviewed (scripts/review_touches.py)
18895,4,false,1094,132.3,na,,high,user-reviewed (scripts/review_touches.py)
18948,4,true,1087,76.2,wrong,1080,high,user-reviewed (scripts/review_touches.py)
18976,4,true,1087,132.3,wrong,1080,high,user-reviewed (scripts/review_touches.py)
18997,4,true,1090,40.1,correct,1090,high,user-reviewed (scripts/review_touches.py)
19098,4,false,1118,52.2,na,,high,user-reviewed (scripts/review_touches.py)
19122,4,true,1123,96.5,wrong,1126,high,user-reviewed (scripts/review_touches.py)
19141,4,true,1126,81.9,correct,1126,high,user-reviewed (scripts/review_touches.py)
19149,4,true,1126,42.4,correct,1126,high,user-reviewed (scripts/review_touches.py)
19177,4,true,1139,70.8,wrong,1139,high,user-reviewed (scripts/review_touches.py)
19214,4,true,1135,9.5,correct,1135,high,user-reviewed (scripts/review_touches.py)
19224,4,true,1135,95.4,wrong,1135,high,user-reviewed (scripts/review_touches.py)
19240,4,true,1126,66.7,correct,1126,high,user-reviewed (scripts/review_touches.py)
19293,4,false,1154,141.9,na,,high,user-reviewed (scripts/review_touches.py)
19397,4,true,1171,0.0,wrong,1159,high,user-reviewed (scripts/review_touches.py)
19447,4,true,1160,55.6,correct,1160,high,user-reviewed (scripts/review_touches.py)
19461,4,true,1158,141.6,wrong,1160,high,user-reviewed (scripts/review_touches.py)
19469,4,true,1158,0.0,wrong,1160,high,user-reviewed (scripts/review_touches.py)
19513,4,true,,223.0,wrong,1158,high,user-reviewed (scripts/review_touches.py)
19555,4,true,1192,34.1,correct,1192,high,user-reviewed (scripts/review_touches.py)
19603,4,true,1202,80.9,wrong,1203,high,user-reviewed (scripts/review_touches.py)
19622,4,true,1187,24.4,correct,1187,high,user-reviewed (scripts/review_touches.py)
19635,4,true,1200,0.0,wrong,1157,high,user-reviewed (scripts/review_touches.py)
19654,4,true,1157,0.0,correct,1157,high,user-reviewed (scripts/review_touches.py)
19729,4,false,1160,49.0,na,,high,user-reviewed (scripts/review_touches.py)
19745,4,false,1157,0.0,na,,high,user-reviewed (scripts/review_touches.py)
19773,4,true,1157,0.0,correct,1157,high,user-reviewed (scripts/review_touches.py)
19789,4,true,1160,49.7,wrong,1157,high,user-reviewed (scripts/review_touches.py)
19913,4,true,1256,43.9,wrong,1251,high,user-reviewed (scripts/review_touches.py)
19937,4,true,1242,57.5,wrong,1251,high,user-reviewed (scripts/review_touches.py)
19958,4,true,1267,0.0,wrong,1272,high,user-reviewed (scripts/review_touches.py)
20013,4,true,1269,56.7,correct,1269,high,user-reviewed (scripts/review_touches.py)
20065,4,true,1267,89.5,wrong,1242,high,user-reviewed (scripts/review_touches.py)
20072,4,true,,113.3,wrong,1242,high,user-reviewed (scripts/review_touches.py)
20086,4,true,,140.0,wrong,1286,high,user-reviewed (scripts/review_touches.py)
20118,4,false,1266,23.1,na,,high,user-reviewed (scripts/review_touches.py)
20128,4,false,1266,54.3,na,,high,user-reviewed (scripts/review_touches.py)
20143,4,false,1266,8.7,na,,high,user-reviewed (scripts/review_touches.py)
20239,4,true,1313,65.3,correct,1313,high,user-reviewed (scripts/review_touches.py)
20253,4,false,1303,141.4,na,,high,user-reviewed (scripts/review_touches.py)
20266,4,true,1309,0.0,wrong,1305,high,user-reviewed (scripts/review_touches.py)
20350,4,true,1336,0.0,correct,1336,high,user-reviewed (scripts/review_touches.py)
20426,4,true,1347,68.9,correct,1347,high,user-reviewed (scripts/review_touches.py)
20432,4,true,1347,49.9,correct,1347,high,user-reviewed (scripts/review_touches.py)
20443,4,false,1339,118.2,na,,high,user-reviewed (scripts/review_touches.py)
20460,4,true,1342,8.0,correct,1342,high,user-reviewed (scripts/review_touches.py)
20482,4,true,1358,50.1,wrong,1345,high,user-reviewed (scripts/review_touches.py)
20499,4,true,1338,75.8,wrong,1345,high,user-reviewed (scripts/review_touches.py)
20552,4,true,1345,15.7,wrong,1378,high,user-reviewed (scripts/review_touches.py)
20557,4,true,1343,41.9,correct,1343,high,user-reviewed (scripts/review_touches.py)
20566,4,true,1339,32.1,wrong,1313,high,user-reviewed (scripts/review_touches.py)
20612,4,false,1339,20.1,na,,high,user-reviewed (scripts/review_touches.py)
20755,5,false,1401,67.8,na,,high,user-reviewed (scripts/review_touches.py)
20772,5,true,1347,52.7,wrong,1347,high,user-reviewed (scripts/review_touches.py)
20818,5,true,,48.5,wrong,1394,high,user-reviewed (scripts/review_touches.py)
20830,5,true,1397,39.0,wrong,1413,high,user-reviewed (scripts/review_touches.py)
20849,5,true,1421,0.0,correct,1421,high,user-reviewed (scripts/review_touches.py)
20888,5,true,1422,50.2,correct,1422,high,user-reviewed (scripts/review_touches.py)
20903,5,true,1422,133.1,correct,1422,high,user-reviewed (scripts/review_touches.py)
